date,beta,close,volume,open
2022-06-15,1.73,20.11,121430000.0,18.96
2022-06-14,1.73,18.66,105580000.0,16.53
2022-06-13,1.73,15.99,60530000.0,17.32
2022-06-10,1.73,18.14,61360000.0,18.86
2022-06-09,1.73,18.82,73900000.0,18.715
2022-06-08,1.73,20.38,65310000.0,20.32
2022-06-07,1.73,19.65,49360000.0,18.98
2022-06-06,1.73,19.18,68730000.0,18.99
2022-06-03,1.73,18.08,57620000.0,18.42
2022-06-02,1.73,18.85,77830000.0,17.54
2022-06-01,1.73,17.57,92490000.0,17.59
2022-05-31,1.73,17.39,96580000.0,17.77
2022-05-27,1.73,16.57,51420000.0,16.16
2022-05-26,1.73,16.03,64239999.99999999,14.52
2022-05-25,1.73,14.64,44910000.0,14.79
2022-05-24,1.73,14.63,48410000.0,15.53
2022-05-23,1.73,16.0,65599999.99999999,15.8
2022-05-20,1.73,16.44,86110000.0,17.5
2022-05-19,1.73,16.66,61190000.0,16.11
2022-05-18,1.73,15.83,72870000.0,16.29
2022-05-17,1.73,16.63,93230000.0,15.31
2022-05-16,1.73,14.55,82270000.0,14.81
2022-05-13,1.73,14.31,63560000.0,13.7
2022-05-12,1.73,13.1,83180000.0,12.48
2022-05-11,1.73,12.71,86080000.0,13.79
2022-05-10,1.73,13.44,77180000.0,14.26
2022-05-09,1.73,13.55,63120000.0,14.33
2022-05-06,1.73,14.92,57660000.0,15.61
2022-05-05,1.73,15.38,95760000.0,17.41
2022-05-04,1.73,18.13,53870000.0,17.18
2022-05-03,1.73,17.53,44060000.0,17.29
2022-05-02,1.73,17.5,56160000.0,16.53
2022-04-29,1.73,16.7,62930000.0,17.78
2022-04-28,1.73,16.93,53120000.0,16.9
2022-04-27,1.73,16.76,56630000.0,16.52
2022-04-26,1.73,16.36,52770000.0,17.235
2022-04-25,1.73,17.31,54990000.0,16.81
2022-04-22,1.73,17.18,60730000.0,17.35
2022-04-21,1.73,17.15,61500000.0,18.34
2022-04-20,1.73,18.15,53340000.0,19.38
2022-04-19,1.73,19.87,43400000.0,19.05
2022-04-18,1.73,19.17,40650000.0,19.51
2022-04-14,1.73,19.65,43940000.0,20.09
2022-04-13,1.73,20.42,57160000.0,19.55
2022-04-12,1.73,19.46,51210000.0,20.03
2022-04-11,1.73,19.7,93690000.0,18.05
2022-04-08,1.73,20.0,59570000.0,20.11
2022-04-07,1.73,20.36,82620000.0,21.49
2022-04-06,1.73,21.68,73500000.0,22.04
2022-04-05,1.73,22.47,69770000.0,23.97
2022-04-04,1.73,23.85,101890000.0,23.31
2022-04-01,1.73,21.93,110170000.0,22.41
2022-03-31,1.73,21.05,77640000.0,22.28
2022-03-30,1.73,22.17,114650000.0,21.83
2022-03-29,1.73,21.88,65950000.0,21.58
2022-03-28,1.73,21.21,75250000.0,20.415
2022-03-25,1.73,19.91,106940000.0,20.31
2022-03-24,1.73,21.98,97160000.0,22.0
2022-03-23,1.73,21.87,88920000.0,21.6
2022-03-22,1.73,21.77,79810000.0,20.84
2022-03-21,1.73,20.26,89590000.0,20.75
2022-03-18,1.73,20.86,128530000.0,18.83
2022-03-17,1.73,18.82,93330000.0,17.93
2022-03-16,1.73,18.75,168010000.0,17.64
2022-03-15,1.73,14.93,139770000.0,13.48
2022-03-14,1.73,14.1,115290000.0,15.09
2022-03-11,1.73,16.07,93270000.0,18.11
2022-03-10,1.73,17.77,105880000.0,19.0
2022-03-09,1.73,20.17,84310000.0,18.56
2022-03-08,1.73,17.98,74930000.0,18.23
2022-03-07,1.73,18.12,79650000.0,18.85
2022-03-04,1.73,18.63,68600000.0,20.09
2022-03-03,1.73,19.88,69420000.0,21.73
2022-03-02,1.73,21.77,47210000.0,21.9
