date,open,close,volume,beta
2013-10-18,174.8,173.78,10550000.0,0.62
2013-10-17,173.84,174.83,22370000.0,0.62
2013-10-16,185.42,186.73,6720000.0,0.62
2013-10-15,185.74,184.66,3370000.0,0.62
2013-10-14,185.41,186.97,2660000.0,0.62
2013-10-11,185.25,186.16,3230000.0,0.62
2013-10-10,183.17,184.77,3660000.0,0.62
2013-10-09,179.37,181.32,4420000.0,0.62
2013-10-08,181.89,178.72,5580000.0,0.62
2013-10-07,181.85,182.01,3970000.0,0.62
2013-10-04,184.17,184.1,2860000.0,0.62
2013-10-03,184.7,183.86,3210000.0,0.62
2013-10-02,185.54,184.96,3620000.0,0.62
2013-10-01,185.34,186.38,2680000.0,0.62
2013-09-30,185.56,185.18,3980000.0,0.62
2013-09-27,188.87,186.92,3910000.0,0.62
2013-09-26,190.1,190.22,2089999.9999999998,0.62
2013-09-25,190.14,189.47,2650000.0,0.62
2013-09-24,190.93,189.97,3090000.0,0.62
2013-09-23,190.06,190.99,3340000.0,0.62
2013-09-20,193.96,190.02,8530000.0,0.62
2013-09-19,194.18,193.39,3180000.0,0.62
2013-09-18,192.6,194.42,3840000.0,0.62
2013-09-17,193.42,192.16,2930000.0,0.62
2013-09-16,193.7,193.15,3910000.0,0.62
2013-09-13,191.21,192.17,3710000.0,0.62
2013-09-12,190.96,190.73,3350000.0,0.62
2013-09-11,186.83,190.7,4960000.0,0.62
2013-09-10,187.2,186.6,3150000.0,0.62
2013-09-09,183.68,184.98,3020000.0,0.62
2013-09-06,184.65,183.03,2900000.0,0.62
2013-09-05,183.35,184.15,2870000.0,0.62
2013-09-04,183.58,183.13,2600000.0,0.62
2013-09-03,183.63,183.96,3490000.0,0.62
2013-08-30,182.75,182.27,2730000.0,0.62
2013-08-29,181.96,182.64,2980000.0,0.62
2013-08-28,182.68,182.16,3980000.0,0.62
2013-08-27,183.63,182.74,3190000.0,0.62
2013-08-26,185.27,184.74,2170000.0,0.62
2013-08-23,185.34,185.42,2300000.0,0.62
2013-08-22,185.65,185.19,2350000.0,0.62
2013-08-21,184.67,184.86,3550000.0,0.62
2013-08-20,184.37,184.56,3120000.0,0.62
2013-08-19,185.3,184.23,3250000.0,0.62
2013-08-16,185.54,185.34,3430000.0,0.62
2013-08-15,186.23,185.79,3690000.0,0.62
2013-08-14,188.58,187.53,2900000.0,0.62
2013-08-13,189.54,188.42,3540000.0,0.62
2013-08-12,186.97,189.09,3030000.0,0.62
2013-08-09,188.0,187.82,3250000.0,0.62
2013-08-08,189.45,187.93,4550000.0,0.62
2013-08-07,189.6,188.56,3900000.0,0.62
2013-08-06,192.26,190.99,5940000.0,0.62
2013-08-05,195.16,195.5,2490000.0,0.62
2013-08-02,195.5,195.16,3870000.0,0.62
2013-08-01,196.65,195.81,2880000.0,0.62
2013-07-31,194.49,195.04,3810000.0,0.62
2013-07-30,196.99,196.01,2660000.0,0.62
2013-07-29,196.83,196.21,2110000.0,0.62
2013-07-26,196.59,197.35,2490000.0,0.62
